Survived,Pclass,Sex,Parch,,,first Q,,,,,,,,,second Q,,,,,Second Q,,,,,,,,,Third Q,,,,,,
0,3,male,0,,,count,survived,dead,,entropies,,,,pr,count,survived,dead,,,,,count,survived,dead,,,,,M+Class+parch,,count,survived,dead,,
0,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,,#DIV/0!
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,,#DIV/0!
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,,#DIV/0!
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,pclass3,0,85,50,35,,0.977417818
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,12,13,,0.998845536
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,8,17,,0.904381458
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,,1
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,2,,#NUM!
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,0.811278124
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,1,,#NUM!
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,male,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,female,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,male,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
